refdes;partname;type;Arrow_Part_Number;Arrow_Price/Stock;Datasheet;Description;Height;Manufacturer_Name;Manufacturer_Part_Number;Mouser_Part_Number;Mouser_Price/Stock;Value;Voltage
AE1;Resistor_SMD_R_1206_3216Metric; ;  ;  ; ; Ceramic chip antenna with pin for PCB trace;  ;  ;  ;  ;  ; ADWH002;  
C1;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 24pF;  
C10;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF;  
C11;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 10uF;  
C12;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C13;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C14;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C15;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C16;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 1.2pF;  
C17;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 1uF;  
C18;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 1.8pF;  
C2;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 10uF;  
C25;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 1uF;  
C26;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C27;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C28;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C29;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C3;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C30;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C31;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C36;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C4;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C41;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C42;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C43;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C44;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C49;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C5;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 24pF;  
C50;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C51;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C52;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C53;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C54;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C55;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C56;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C57;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C58;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C59;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C6;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 1uF;  
C60;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 4.7uF; 6.3V
C61;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C62;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C63;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 10pF;  
C64;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 10pF;  
C65;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C66;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C67;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 2.2nF;  
C68;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C69;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 2.2nF;  
C7;Capacitor_SMD_C_0402_1005Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF;  
C70;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C71;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C72;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C73;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C74;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C75;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C76;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 47uF; 6.3V
C77;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C78;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C79;Capacitor_SMD_C_0805_2012Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 22uF; 25V
C8;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 100nF;  
C9;Capacitor_SMD_C_0201_0603Metric;C;  ;  ; ; Unpolarized capacitor;  ;  ;  ;  ;  ; 1uF;  
D1;PCM_Diode_SMD_AKL_D_SMB_TVS; ;  ;  ; https://www.tme.eu/Document/0b6222bec7e12d83185b51d73cb6a54d/SMBJ_ser.pdf; SMB Bidirectional TVS Diode, 40V, 600W, Alternate KiCAD Library;  ;  ;  ;  ;  ; SMBJ40CA;  
D10;Diode_SMD_D_SMA; ;  ;  ; https://www.tme.eu/Document/4534c3d1273464918563ce78bdeb2ece/SS34-E3-57T.pdf; SMC Schottky diode, 40V, 3A, Alternate KiCAD Library;  ;  ;  ;  ;  ; SS34;  
D11;Diode_SMD_D_SMA; ;  ;  ; https://www.tme.eu/Document/4534c3d1273464918563ce78bdeb2ece/SS34-E3-57T.pdf; SMC Schottky diode, 40V, 3A, Alternate KiCAD Library;  ;  ;  ;  ;  ; SS34;  
D13;PCM_Diode_SMD_AKL_D_SMB_TVS; ;  ;  ; https://www.tme.eu/Document/0b6222bec7e12d83185b51d73cb6a54d/SMBJ_ser.pdf; SMB Bidirectional TVS Diode, 40V, 600W, Alternate KiCAD Library;  ;  ;  ;  ;  ; SMBJ40CA;  
D14;PCM_Diode_SMD_AKL_D_SMB_TVS; ;  ;  ; https://www.tme.eu/Document/0b6222bec7e12d83185b51d73cb6a54d/SMBJ_ser.pdf; SMB Bidirectional TVS Diode, 40V, 600W, Alternate KiCAD Library;  ;  ;  ;  ;  ; SMBJ40CA;  
