Designator;Val;Package;Mid X;Mid Y;Rotation Side;Layer
C19;1uF;C_0402_1005Metric;15.825000;56.600000;-90.000000;bottom
C20;1uF;C_0402_1005Metric;16.750000;56.600000;-90.000000;bottom
C21;1uF;C_0402_1005Metric;14.900000;56.600000;-90.000000;bottom
C22;22uF;C_0805_2012Metric;13.300000;59.450000;180.000000;bottom
C23;22uF;C_0805_2012Metric;13.300000;63.450000;180.000000;bottom
C24;22uF;C_0805_2012Metric;13.300000;61.450000;180.000000;bottom
C32;100nF;C_0402_1005Metric;8.420000;26.850000;180.000000;bottom
C33;100nF;C_0402_1005Metric;23.700000;26.850000;180.000000;bottom
C34;22uF;C_0805_2012Metric;8.300000;25.250000;180.000000;bottom
C35;22uF;C_0805_2012Metric;23.700000;23.250000;180.000000;bottom
C37;22uF;C_0805_2012Metric;8.300000;21.250000;180.000000;bottom
C38;22uF;C_0805_2012Metric;23.700000;21.250000;180.000000;bottom
C39;22uF;C_0805_2012Metric;8.300000;23.250000;180.000000;bottom
C40;22uF;C_0805_2012Metric;23.700000;25.250000;180.000000;bottom
C45;22uF;C_0805_2012Metric;41.300000;21.450000;180.000000;bottom
C46;22uF;C_0805_2012Metric;56.100000;23.450000;180.000000;bottom
C47;22uF;C_0805_2012Metric;41.300000;23.450000;180.000000;bottom
C48;22uF;C_0805_2012Metric;56.100000;21.450000;180.000000;bottom
;;;6.100000;68.550000;0.000000;top
;;;6.100000;4.180440;0.000000;top
;;;67.500000;68.800000;0.000000;top
;;;67.500000;4.430440;0.000000;top
AE1;ADWH002;R_1206_3216Metric;53.700000;64.850000;180.000000;top
C1;24pF;C_0201_0603Metric;56.300000;53.850000;180.000000;top
C2;10uF;C_0402_1005Metric;49.500000;62.775000;-90.000000;top
C3;22uF;C_0805_2012Metric;71.900000;34.850000;0.000000;top
C4;100nF;C_0201_0603Metric;48.500000;62.770000;-90.000000;top
C5;24pF;C_0201_0603Metric;57.050000;58.950000;0.000000;top
C6;1uF;C_0201_0603Metric;49.500000;61.130000;90.000000;top
C7;22uF;C_0402_1005Metric;64.200000;45.835877;-90.000000;top
C8;100nF;C_0201_0603Metric;52.900000;58.450000;0.000000;top
C9;1uF;C_0201_0603Metric;52.900000;59.250000;0.000000;top
C10;22uF;C_0402_1005Metric;61.800000;45.835877;-90.000000;top
C11;10uF;C_0402_1005Metric;60.800000;45.835877;-90.000000;top
C12;100nF;C_0402_1005Metric;62.800000;45.835877;-90.000000;top
C13;100nF;C_0402_1005Metric;64.420000;65.050000;180.000000;top
C14;100nF;C_0201_0603Metric;44.820000;58.250000;180.000000;top
C15;100nF;C_0201_0603Metric;45.900000;53.130000;-90.000000;top
C16;1.2pF;C_0201_0603Metric;52.450000;60.950000;0.000000;top
C17;1uF;C_0201_0603Metric;46.700000;53.170000;-90.000000;top
C18;1.8pF;C_0201_0603Metric;52.445000;63.150000;0.000000;top
C25;1uF;C_0402_1005Metric;20.250000;56.555000;-90.000000;top
C26;100nF;C_0402_1005Metric;43.900000;48.050000;90.000000;top
C27;100nF;C_0402_1005Metric;41.700000;45.050000;180.000000;top
C28;100nF;C_0402_1005Metric;45.900000;45.050000;180.000000;top
C29;100nF;C_0402_1005Metric;23.100000;54.330000;-90.000000;top
C30;100nF;C_0402_1005Metric;54.300000;45.050000;180.000000;top
C31;100nF;C_0402_1005Metric;50.020000;45.050000;180.000000;top
C36;100nF;C_0402_1005Metric;67.100000;33.170000;90.000000;top
C41;22uF;C_0805_2012Metric;3.003911;21.995081;180.000000;top
C42;22uF;C_0805_2012Metric;18.700000;22.850000;90.000000;top
C43;100nF;C_0402_1005Metric;12.500000;36.250000;180.000000;top
C44;100nF;C_0402_1005Metric;28.100000;36.250000;180.000000;top
C49;47uF;C_0805_2012Metric;72.500000;30.050000;90.000000;top
C50;47uF;C_0805_2012Metric;72.500000;26.650000;-90.000000;top
C51;100nF;C_0402_1005Metric;3.100000;36.250000;0.000000;top
C52;100nF;C_0402_1005Metric;18.500000;36.250000;0.000000;top
C53;22uF;C_0805_2012Metric;4.500000;19.250000;90.000000;top
C54;22uF;C_0805_2012Metric;18.700000;19.250000;90.000000;top
